Job,Skills
AI Research Scientist,"Reinforcement Learning, Deep Learning, Natural Language Processing, Machine Learning, Python"
Database Administrator,"SQL, Database Optimization, NoSQL"
Backend Developer,"Spring Boot, SQL, Node.js"
Security Engineer,"Encryption, Penetration Testing, SIEM, Network Security"
Network Engineer,"Switching, Routing, Firewalls, Network Protocols"
Data Engineer,"ETL, Apache Spark, SQL"
Cloud Architect,"AWS, Terraform, Google Cloud, Docker"
IT Support Specialist,"Troubleshooting, Software, Customer Service, Hardware, Networking, Ticketing Systems"
Salesforce Developer,"SOQL, Apex, Integration, Visualforce, Salesforce CRM"
Network Engineer,"VPN, Firewalls, Cisco"
Digital Marketing Specialist,"Google Analytics, Social Media Marketing, Content Marketing"
Cybersecurity Analyst,"Firewalls, SIEM, Incident Response, Encryption, Penetration Testing"
Technical Writer,"Content Management Systems, Technical Documentation, Git, Markdown, API Documentation"
Scrum Master,"Sprint Planning, JIRA, Retrospectives, Team Facilitation"
Database Administrator,"PostgreSQL, SQL, MongoDB"
Data Scientist,"Pandas, Machine Learning, SQL, R, Data Visualization, Python"
Game Developer,"C#, Unreal Engine, Game Physics, 3D Modeling"
AI Research Scientist,"Deep Learning, Python, Machine Learning"
Database Administrator,"SQL, Database Optimization, MySQL, NoSQL, PostgreSQL"
Frontend Developer,"CSS, Angular, Vue.js, React, JavaScript"
Network Engineer,"Firewalls, VPN, Routing, Network Protocols, Cisco, Switching"
UI/UX Designer,"Adobe XD, Sketch, Prototyping, Wireframing"
Business Analyst,"Requirements Gathering, UML, Process Modeling"
Full Stack Developer,"Node.js, JavaScript, CSS, Python"
ERP Consultant,"ERP Implementation, Data Migration, Customization, SAP, Business Process Modeling, Oracle ERP"
ML Engineer,"PyTorch, Pandas, Python"
Frontend Developer,"Vue.js, CSS, React, Angular"
Digital Marketing Specialist,"SEO, Content Marketing, Google Analytics, Email Marketing, Social Media Marketing, SEM"
Product Manager,"Scrum, Roadmapping, Product Lifecycle, Agile, Market Research"
Technical Writer,"API Documentation, Markdown, Technical Documentation"
Cybersecurity Analyst,"Encryption, Firewalls, Penetration Testing"
UI/UX Designer,"User Research, Wireframing, Adobe XD, Sketch, Prototyping, Figma"
Technical Writer,"Technical Documentation, Markdown, API Documentation, Git, Content Management Systems"
Scrum Master,"JIRA, Retrospectives, Scrum, Sprint Planning, Team Facilitation, Agile"
Business Analyst,"UML, Data Analysis, Requirements Gathering, Stakeholder Management, Process Modeling"
Product Manager,"Scrum, Market Research, JIRA, Agile, Product Lifecycle, Roadmapping"
Business Analyst,"Process Modeling, Stakeholder Management, UML, Requirements Gathering, Data Analysis"
Network Engineer,"Network Protocols, Routing, VPN, Switching, Cisco"
Network Engineer,"Firewalls, VPN, Cisco"
AI Research Scientist,"Reinforcement Learning, Machine Learning, Python, Natural Language Processing, Deep Learning"
DevOps Engineer,"Kubernetes, AWS, Docker"
Mobile App Developer,"Xcode, Swift, Kotlin, Flutter, React Native"
DevOps Engineer,"AWS, Jenkins, Linux, Docker, Kubernetes"
